■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2019-10-25,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2017-10-24~2019-10-24???영화구분: 일반영화???국적: 한국???지역: 전체???제작사 : 전체???배급사 : 전체???감독명 : 전체???배우명 : 전체???등급별 : 전체???장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
41,사자,2019-07-31,"12,917,306,145",0.7%,"12,917,306,145","1,609,737","1,609,737","1,405","47,677",한국,한국,(주)키이스트,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"미스터리,액션,판타지,공포(호러)",김주환,"박서준,안성기,우도환,이승준,최우식,박진주,박지현,정지훈,이승희,심희섭,이찬유,김시은,김선민,정의순,김범수,박재홍,차시원,류경수,서정연,장세아,배현성,이설,이수인,이정현"
42,창궐,2018-10-25,"13,278,236,490",0.7%,"13,278,236,490","1,599,598","1,599,598","1,351","60,689",한국,한국,"리양필름(주),영화사 이창",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"사극,액션",김성훈,"현빈,장동건,조우진,정만식,이선빈,김의성,조달환,박진우,서지혜,한지은,공정환,김태우,이승일,이동훈,이상준,이상훈,이승주,배정환,이우성,이우정,이유진,이재남,이정민,이정민,김주혁,서지은,이진용,이창훈,이형원,김지수,김태경,김태윤,김태희,김하진,나대한,윤석동,민경옥,박경관,박성빈,임용순,장현,장윤정,정선희,정선희,박종범,정수연,박지아,박지원,정재훈,박태민,김현욱,김현욱,강정진,조민아,최규리,최아영,김다연,김다연,김대현,최재영,한아름,한지혜,한지혜,편광진,황원일,김성태,김은진,김수지,김승환,김성준,김성규,김제형,오재세,한성희,허성태,허준석"
43,성난황소,2018-11-22,"13,236,490,737",0.7%,"13,236,490,737","1,593,386","1,593,386","1,010","48,932",한국,한국,"주식회사 플러스미디어엔터테인먼트,(주)비에이엔터테인먼트",(주)쇼박스,15세이상관람가,"범죄,액션",김민호,"마동석,송지효,김성오,김민재,박지환,이동진,이세영,박혜림,김재철,이연주,신수경,이창훈,김흥태,노성후,장혁진,박지훈,박진성,김산,김민재,김수진,김용빈,김수진,이성우"
44,도어락,2018-12-05,"12,803,157,486",0.7%,"12,803,157,486","1,561,258","1,561,258",954,"53,836",한국,한국,(주)영화사피어나,메가박스중앙(주)플러스엠,15세이상관람가,"스릴러,드라마",이권,"공효진,김예원,김성오,조복래,이가섭,이천희,김동규,김보경,김유정,김지한,김지현,백민준,이상희,이승창,장효석,한지은,배유리,배명진"
45,리틀 포레스트,2018-02-28,"11,934,249,185",0.6%,"11,934,249,185","1,506,911","1,506,911",884,"68,422",한국,한국,(주)영화사수박,메가박스중앙(주)플러스엠,전체관람가,드라마,임순례,"김태리,류준열,문소리,진기주,홍성덕,이광용,이상준,김재훈,이유진,김정은,김주은,이태영,김지윤,김현지,오수엽,박미현,박민지,박성준,임정희,박수현,박정희,박종찬,김혁,김호,강민지,김다정,김동혁,김명희,최원석,최혜림,김소정,김수현,김은영,김예슬,전국향,장재희"
46,부라더,2017-11-02,"11,660,876,498",0.6%,"11,783,109,998","1,477,414","1,492,903",889,"54,908",한국,한국,"(주)홍필름,(주)수필름",메가박스중앙(주)플러스엠,12세이상관람가,코미디,장유정,"마동석,이동휘,이하늬,류정수,배준수,석정호,신은영,안백승,안승주,채지혜,이성은,이수민,이은정,한명순,이재민,이하은,황인주,황종환,김근영,이봉련,허성태,손영순,서현철"
47,나의 특별한 형제,2019-05-01,"12,076,605,074",0.6%,"12,076,605,074","1,477,411","1,477,411",936,"49,918",한국,한국,"(주)명필름,(주)조이래빗",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,코미디",육상효,"신하균,이광수,이솜,박철민,권해효,길해연,양소민,배명진"
48,스윙키즈,2018-12-19,"12,094,670,292",0.6%,"12,094,670,292","1,473,125","1,473,125",984,"42,245",한국,한국,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,강형철,"도경수,박혜수,자레드 그라임스,오정세,김민호,강성호,고창희,김건우,김동현,김민재,김수민,김시원,김유리,김은주,김종원,김지수,김지현,김지혜,김태윤,김태형,김하늘,나경진,박상필,박준수,신지훈,안희진,이동현,이상훈,이승철,이승훈,이승훈,이재석,이정현,이태영,장지훈,전민정,전재형,최민우,송재룡,주해은,박진주,박형수,이규성"
49,기억의 밤,2017-11-29,"10,653,271,160",0.6%,"10,653,271,160","1,387,779","1,387,779",759,"53,003",한국,한국,(주)비에이엔터테인먼트,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",15세이상관람가,"미스터리,스릴러",장항준,"강하늘,김무열,문성근,나영희,최고,박윤식,박재영,이동근,이동진,이승용,남명렬,김현목,이성우,이나라,안민영"
50,골든슬럼버,2018-02-14,"11,412,768,798",0.6%,"11,412,768,798","1,387,508","1,387,508",833,"42,991",한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",노동석,"강동원,김의성,한효주,김성균,김대명,윤계상,이준혁,정소민,최우식,유재명,차순배,김시은,이강희,이경훈,이상원,박혜영,김재영,방한솔,이승민,이예림,김종호,손영진,신경철,이진구,이하늘,김지희,김지희,김진성,오기환,남은정,박다은,박서연,박성희,박시은,박은영,전한나,박정민,정신영,정연주,박지선,박지현,조영진,김건,최재호,최진호,최혜영,한대훈,황준혁,김소정,김수영,김우진,김시은,김승호,김유정,오륭,염혜란,박건아,노수산나,이학주,우상기,원현준,김승훈,김미경"
51,궁합,2018-02-28,"10,478,875,438",0.6%,"10,478,875,438","1,340,117","1,340,117",966,"52,427",한국,한국,(주)주피터필름,씨제이이앤엠(주),12세이상관람가,"코미디,드라마",홍창표,"심은경,이승기,김상경,연우진,강민혁,최우식,조복래,최민호,박선영,이한서,윤송아,이선빈,이동희,이상진,이소현,이수연,이수연,이슬아,김정겸,배지혜,이영수,이정현,이주연,이지민,신혜경,김탁호,김태환,유다영,유다영,윤예원,윤유선,민성주,장지선,정민규,정인영,정재훈,김필수,강현우,조성환,최민호,김욱,최우진,최준호,김보경,김서현,안지호,김성훈,김상혁,조수향,박진주,이정현,손성찬,박호산"
